match_id,date,venue,winner,loser,margin,margin_type,winner_rating,loser_rating,winner_expected,rating_change,winner_xi_size,loser_xi_size
1415716,2024-06-08,"Nassau County International Cricket Stadium, New York",South Africa,Netherlands,4,wickets,1505.0375210498046,1498.7649744619746,0.5090259395472552,18.8534039213854,10,11
1415719,2024-06-09,"Nassau County International Cricket Stadium, New York",India,Pakistan,6,runs,1506.2740997638068,1505.599836607543,0.5009703414645444,15.968949073134578,11,11
1415720,2024-06-09,"Sir Vivian Richards Stadium, North Sound, Antigua",Scotland,Oman,7,wickets,1498.0142178280466,1497.0878265570564,0.5013331810473644,23.936007309726513,11,11
1415721,2024-06-10,"Nassau County International Cricket Stadium, New York",South Africa,Bangladesh,4,runs,1506.6599047059528,1494.9683641134645,0.5168191313169884,15.46178779785637,11,11
1415724,2024-06-11,"Sir Vivian Richards Stadium, North Sound, Antigua",Australia,Namibia,9,wickets,1511.2910825513763,1496.2009256120325,0.5217028363234791,22.958263856473003,8,11
1415722,2024-06-11,"Nassau County International Cricket Stadium, New York",Pakistan,Canada,7,wickets,1503.763937748141,1499.7808292181574,0.5057319028399306,23.72486866368333,10,11
1415726,2024-06-12,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,New Zealand,13,runs,1502.4910312473933,1505.6524201687937,0.49545052118101657,19.374699986648967,11,11
1415725,2024-06-12,"Nassau County International Cricket Stadium, New York",India,United States of America,7,wickets,1507.1582013454715,1502.2607256853407,0.5070475672545436,23.661716771781908,10,11
1415728,2024-06-13,"Sir Vivian Richards Stadium, North Sound, Antigua",England,Oman,8,wickets,1501.3876699398531,1494.953111763017,0.5092590150092017,23.555567279558318,8,11
1415727,2024-06-13,"Arnos Vale Ground, Kingstown, St Vincent",Bangladesh,Netherlands,25,runs,1493.5627470409324,1497.2068419064883,0.4947559182266396,19.401372740097035,11,11
1415732,2024-06-14,"Brian Lara Stadium, Tarouba, Trinidad",New Zealand,Uganda,9,wickets,1503.6614988721449,1499.6134901748037,0.5058252892131787,23.720386117767422,7,11
