match_id,date,venue,winner,loser,margin,margin_type,winner_rating_before,winner_rating_after,winner_change,loser_rating_before,loser_rating_after,loser_change,winner_expected
1273750,2021-11-06,Sharjah Cricket Stadium,South Africa,England,10,runs,1553.3479241310688,1574.832735193698,21.484811062629234,1594.8897984380947,1573.4049873754655,-21.484811062629234,0.44049971191069703
1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Scotland,72,runs,1538.119986666655,1558.9360941625819,20.81610749592685,1491.7551377854988,1470.939030289572,-20.81610749592685,0.5663310938348572
1273753,2021-11-08,Dubai International Cricket Stadium,India,Namibia,9,wickets,1539.038398259286,1560.0963720181535,21.05797375886749,1496.232928404741,1475.1749546458734,-21.05797375886749,0.5612922133569272
1273754,2021-11-10,"Zayed Cricket Stadium, Abu Dhabi",New Zealand,England,5,wickets,1584.6009314630824,1603.1824347996048,18.58150333652242,1573.4049873754655,1554.823484038943,-18.58150333652242,0.5161066839447286
1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Pakistan,5,wickets,1543.9342672277842,1563.9627839891223,20.028516761338143,1558.9360941625819,1538.9075774012438,-20.028516761338143,0.47842404267348587
1273756,2021-11-14,Dubai International Cricket Stadium,Australia,New Zealand,8,wickets,1563.9627839891223,1590.660532413508,26.6977484243857,1603.1824347996048,1576.484686375219,-26.6977484243857,0.44379690782529796
1298136,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Netherlands,United Arab Emirates,3,wickets,1426.3699722517829,1446.452449278257,20.082477026474137,1442.3501858216239,1422.2677087951497,-20.082477026474137,0.4770188274355693
1298135,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Namibia,Sri Lanka,55,runs,1475.1749546458734,1503.3320305371174,28.157075891244006,1535.9677066467466,1507.8106307555026,-28.157075891244006,0.41339425226574994
1298138,2022-10-17,"Bellerive Oval, Hobart",Zimbabwe,Ireland,31,runs,1537.3400475634223,1555.6882542208837,18.348206657461354,1453.9571108950427,1435.6089042375813,-18.348206657461354,0.6177456946362218
1298137,2022-10-17,"Bellerive Oval, Hobart",Scotland,West Indies,42,runs,1470.939030289572,1498.7216938207503,27.782663531178382,1526.1590064441316,1498.3763429129533,-27.782663531178382,0.421194509767117
1298139,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Netherlands,Namibia,5,wickets,1446.452449278257,1468.767947042576,22.31549776431894,1503.3320305371174,1481.0165327727984,-22.31549776431894,0.4188672457208609
1298140,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Sri Lanka,United Arab Emirates,79,runs,1507.8106307555026,1526.0181131777415,18.207482422238783,1422.2677087951497,1404.0602263729108,-18.207482422238783,0.620677449536692
